Uniprot ID	RefSeq	Gene ID	Protein Entry 	Protein names
I1K0U6	XP_003524096.1;	GLYMA.05G064200	I1K0U6_SOYBN	Lipase_3 domain-containing protein
A0A0R0FNT9		GLYMA.16G099700	A0A0R0FNT9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0GJS8		GLYMA.14G059400	A0A0R0GJS8_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
K7N5I9	XP_006606596.1;	GLYMA.20G248000	K7N5I9_SOYBN	Lipase_3 domain-containing protein
K7N473	XP_006606244.1;	GLYMA.20G179600	K7N473_SOYBN	Patatin (EC 3.1.1.-)
I1N1N9	XP_003552052.1;	GLYMA.04G144900	I1N1N9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7LF70	XP_006587626.1;	GLYMA.09G212100	K7LF70_SOYBN	Uncharacterized protein
I1K184	XP_003525635.1;	GLYMA.05G015400	I1K184_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7KTI5	XP_006581357.1;	GLYMA.06G068600	K7KTI5_SOYBN	Phospholipase D (EC 3.1.4.4)
A0A0R0F625		GLYMA.18G288600	A0A0R0F625_SOYBN	Phospholipase D (EC 3.1.4.4)
I1J7N2	XP_014630845.1;XP_014630859.1;XP_014630870.1;XP_014630886.1;	GLYMA.01G131400	I1J7N2_SOYBN	Uncharacterized protein
K7MMK8	XP_006601054.1;XP_006601055.1;XP_006601056.1;XP_014625364.1;	GLYMA.17G191900	K7MMK8_SOYBN	DUF676 domain-containing protein
A0A0R0E751		GLYMA.20G054000	A0A0R0E751_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7M9M3	XP_003547051.2;	GLYMA.15G046300	K7M9M3_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0LFF7		GLYMA.01G092900	A0A0R0LFF7_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1JN82	XP_003521151.2;	GLYMA.03G130900	I1JN82_SOYBN	PNPLA domain-containing protein
I1JUP4		GLYMA.04G077600	I1JUP4_SOYBN	Oleosin
I1JCF4	XP_006574671.1;	GLYMA.02G046500	I1JCF4_SOYBN	Lipase_GDSL domain-containing protein
I1LBX1	XP_006589231.1;	GLYMA.10G172100	I1LBX1_SOYBN	START domain-containing protein
I1KQ60	XP_003530694.1;	GLYMA.08G041800	I1KQ60_SOYBN	Uncharacterized protein
K7MEF4	XP_003548968.1;	GLYMA.16G005800	K7MEF4_SOYBN	Uncharacterized protein
K7L7S8		GLYMA.08G202000	K7L7S8_SOYBN	START domain-containing protein
I1KVV8	XP_006585684.1;XP_014634670.1;	GLYMA.08G226000	I1KVV8_SOYBN	START domain-containing protein
K7MHJ7		GLYMA.16G155200	K7MHJ7_SOYBN	START domain-containing protein
I1L0W3	XP_003534832.1;	GLYMA.09G041400	I1L0W3_SOYBN	Phospholipase (EC 3.1.4.4)
I1L8C4	XP_006588675.1;	GLYMA.10G035200	I1L8C4_SOYBN	Lipase_3 domain-containing protein
K7MQ93		GLYMA.18G062000	K7MQ93_SOYBN	Uncharacterized protein
I1KSN0	XP_003532788.1;	GLYMA.08G124400	I1KSN0_SOYBN	Uncharacterized protein
A0A0R0GYV6		GLYMA.13G156600	A0A0R0GYV6_SOYBN	START domain-containing protein
K7KGI6	XP_003521645.1;XP_006577198.1;	GLYMA.03G228200	K7KGI6_SOYBN	Uncharacterized protein
A0A0R0KJN8	XP_006576919.2;	GLYMA.03G159000	A0A0R0KJN8_SOYBN	Lipase_3 domain-containing protein
G4Y9K1	NP_001239934.1;	GLYMA.09G132200	G4Y9K1_SOYBN	Beta-carotene hydroxylase 5
K7N204	XP_003555693.1;	GLYMA.20G070200	K7N204_SOYBN	DUF676 domain-containing protein
K7KHM4	XP_006577934.1;	GLYMA.04G017300	K7KHM4_SOYBN	SSD domain-containing protein
A0A0R0EMJ8	XP_003556231.2;	GLYMA.20G179600	A0A0R0EMJ8_SOYBN	Patatin (EC 3.1.1.-)
I1LF25		GLYMA.10G279800	I1LF25_SOYBN	Diphosphomevalonate decarboxylase (EC 4.1.1.33)
K7MU26	XP_014626515.1;	GLYMA.18G224000	K7MU26_SOYBN	Uncharacterized protein
A0A0R0JPC4		GLYMA.05G006800	A0A0R0JPC4_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7KQK3	XP_003524213.1;	GLYMA.05G162700	K7KQK3_SOYBN	Uncharacterized protein
A0A0R0I0G6		GLYMA.10G035200	A0A0R0I0G6_SOYBN	Lipase_3 domain-containing protein
I1MQD6	XP_006599669.1;	GLYMA.16G209600	I1MQD6_SOYBN	SMP-LTD domain-containing protein
K7KYW5	XP_006583002.1;XP_006583004.1;XP_014633101.1;	GLYMA.07G007700	K7KYW5_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1N2Y7		GLYMA.18G202600	I1N2Y7_SOYBN	Uncharacterized protein
I1LD05	XP_006589424.1;	GLYMA.10G210400	I1LD05_SOYBN	Uncharacterized protein
I1KIX8	XP_003530017.1;	GLYMA.07G092400	I1KIX8_SOYBN	Uncharacterized protein
I1MUS1	XP_003549866.1;	GLYMA.17G132300	I1MUS1_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
K7M3L7		GLYMA.13G348200	K7M3L7_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0G729	XP_006595638.1;	GLYMA.14G001500	A0A0R0G729_SOYBN	SSD domain-containing protein
I1JAV7	XP_003517589.1;XP_014632955.1;	GLYMA.01G240100	I1JAV7_SOYBN	Uncharacterized protein
A0A0R0G168		GLYMA.15G152700	A0A0R0G168_SOYBN	Lipase_3 domain-containing protein
K7KIX6	XP_003522716.1;	GLYMA.04G085000	K7KIX6_SOYBN	Uncharacterized protein
A0A0R0HYQ3	XP_006589605.1;XP_006589606.1;XP_006589607.1;	GLYMA.10G251300	A0A0R0HYQ3_SOYBN	Uncharacterized protein
I1MUD9	XP_003549787.1;	GLYMA.17G118700	I1MUD9_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
C6T201	XP_014633839.1;	GLYMA.08G232500	C6T201_SOYBN	AAI domain-containing protein (Fragment)
I1M668	XP_006595653.1;XP_014622792.1;	GLYMA.14G004500	I1M668_SOYBN	ABC1 domain-containing protein
I1MQL8	XP_003549189.1;XP_014624636.1;	GLYMA.16G217800	I1MQL8_SOYBN	Uncharacterized protein
K7LSU8		GLYMA.12G033500	K7LSU8_SOYBN	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)
I1M8K5	XP_003544453.1;	GLYMA.14G081500	I1M8K5_SOYBN	Patatin (EC 3.1.1.-)
I1L0G6	XP_006586851.1;	GLYMA.09G025800	I1L0G6_SOYBN	Uncharacterized protein
K7KDX0	XP_003520994.1;	GLYMA.03G089000	K7KDX0_SOYBN	Lipase_3 domain-containing protein
I1NHG6	XP_003555438.1;	GLYMA.20G180600	I1NHG6_SOYBN	Uncharacterized protein
K7L7N0	XP_006585522.1;	GLYMA.08G194100	K7L7N0_SOYBN	Phospholipase D (EC 3.1.4.4)
I1K1B5		GLYMA.05G012300	I1K1B5_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
A0A0R0IPW4		GLYMA.08G202000	A0A0R0IPW4_SOYBN	START domain-containing protein
I1LD15	XP_006589431.1;	GLYMA.10G211300	I1LD15_SOYBN	Patatin (EC 3.1.1.-)
I1K1C8	XP_003524525.1;	GLYMA.05G011100	I1K1C8_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0KJX1	XP_006576920.2;	GLYMA.03G159000	A0A0R0KJX1_SOYBN	Lipase_3 domain-containing protein
I1MVV5	XP_006600946.1;XP_006600947.1;	GLYMA.17G170900	I1MVV5_SOYBN	Uncharacterized protein
I1K6S3		GLYMA.05G201300	I1K6S3_SOYBN	Acyl carrier protein
I1KYF3	XP_003530778.1;	GLYMA.08G324600	I1KYF3_SOYBN	Uncharacterized protein
A0A0R0L611		GLYMA.01G035100	A0A0R0L611_SOYBN	Fatty acid hydroxylase domain-containing protein
I1MF58	XP_003546094.1;XP_006597538.1;	GLYMA.15G097100	I1MF58_SOYBN	Lipase_3 domain-containing protein
K7LF53		GLYMA.09G209400	K7LF53_SOYBN	Lipase_3 domain-containing protein
I1LIV4	XP_003538975.1;	GLYMA.11G103300	I1LIV4_SOYBN	Uncharacterized protein
A0A0R0HJ36		GLYMA.11G185200	A0A0R0HJ36_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
A0A0R0ENP5	XP_006606097.1;XP_006606098.1;XP_006606099.1;	GLYMA.20G156500	A0A0R0ENP5_SOYBN	Uncharacterized protein
I1LGN7	XP_006590560.1;XP_006590561.1;	GLYMA.11G031800	I1LGN7_SOYBN	Autophagy-related protein
I1MT72	XP_003549570.1;	GLYMA.17G078900	I1MT72_SOYBN	GP-PDE domain-containing protein
I1M765	XP_006595776.1;	GLYMA.14G036600	I1M765_SOYBN	Pyruvate carboxyltransferase domain-containing protein
I1JCF0	XP_006574669.1;	GLYMA.02G046000	I1JCF0_SOYBN	Lipase_GDSL domain-containing protein
A0A0R0JEA5	XP_003527859.1;	GLYMA.06G090300	A0A0R0JEA5_SOYBN	DUF676 domain-containing protein
I1K220	XP_003524639.1;	GLYMA.05G083000	I1K220_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1LD56	XP_003536378.1;	GLYMA.10G214900	I1LD56_SOYBN	Hydrolase_4 domain-containing protein
I1J5D4	XP_006572890.1;	GLYMA.01G035100	I1J5D4_SOYBN	Fatty acid hydroxylase domain-containing protein
K7L7H6	XP_003532981.1;	GLYMA.08G184900	K7L7H6_SOYBN	Patatin (EC 3.1.1.-)
I1KP35	XP_003532402.1;	GLYMA.08G008800	I1KP35_SOYBN	Acyl carrier protein
I1MXW6	XP_003549437.1;	GLYMA.17G251000	I1MXW6_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1L715	XP_003534645.3;	GLYMA.09G275700	I1L715_SOYBN	AAI domain-containing protein
C6TJF4	NP_001240259.1;	GLYMA.10G275200	C6TJF4_SOYBN	GLTP domain-containing protein
A0A0R0EGW6		GLYMA.20G248000	A0A0R0EGW6_SOYBN	Lipase_3 domain-containing protein
I1L3Y5	XP_006587436.1;	GLYMA.09G168000	I1L3Y5_SOYBN	Uncharacterized protein
I1J4N6	XP_003516907.1;	GLYMA.01G012100	I1J4N6_SOYBN	Lipase_3 domain-containing protein
K7LH91		GLYMA.10G035200	K7LH91_SOYBN	Lipase_3 domain-containing protein
K7M1J7	XP_006594591.1;	GLYMA.13G238600	K7M1J7_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
K7KH33	XP_014629538.1;	GLYMA.03G256900	K7KH33_SOYBN	Lipase_3 domain-containing protein
I1JA26	XP_003517453.1;	GLYMA.01G215500	I1JA26_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
K7MTT9	XP_006602704.1;XP_006602705.1;XP_006602706.1;XP_014626331.1;	GLYMA.18G213100	K7MTT9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LDA9	XP_006588453.1;XP_014618030.1;	GLYMA.10G219700	I1LDA9_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0HUV3	XP_006589245.1;	GLYMA.10G174700	A0A0R0HUV3_SOYBN	SMP-LTD domain-containing protein
A0A0R0EFX4	XP_014628312.1;	GLYMA.20G248000	A0A0R0EFX4_SOYBN	Lipase_3 domain-containing protein
I1LS94	XP_003539950.1;	GLYMA.12G120300	I1LS94_SOYBN	Acyl-coenzyme A oxidase
I1MK14	XP_014624448.1;	GLYMA.16G008700	I1MK14_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1M5J2		GLYMA.13G357100	I1M5J2_SOYBN	Uncharacterized protein
I1KLS8	XP_003528483.1;	GLYMA.07G205000	I1KLS8_SOYBN	Lipase_3 domain-containing protein
I1L510	XP_006587607.1;XP_014617794.1;	GLYMA.09G207900	I1L510_SOYBN	Glycerol-3-phosphate acyltransferase, chloroplastic (GPAT) (EC 2.3.1.15)
A0A0R0JYM4	XP_014631300.1;	GLYMA.05G201300	A0A0R0JYM4_SOYBN	Acyl carrier protein
A0A0R0L9Z2	XP_014624701.1;	GLYMA.02G226800	A0A0R0L9Z2_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
K7KFH7		GLYMA.03G165500	K7KFH7_SOYBN	Uncharacterized protein
A0A0R0IP67		GLYMA.09G277200	A0A0R0IP67_SOYBN	Uncharacterized protein
K7L7M9	XP_003533012.1;	GLYMA.08G194100	K7L7M9_SOYBN	Phospholipase D (EC 3.1.4.4)
I1LNB1	XP_003538564.1;	GLYMA.11G248000	I1LNB1_SOYBN	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)
K7LIJ4	XP_003537271.1;	GLYMA.10G105200	K7LIJ4_SOYBN	PNPLA domain-containing protein
I1JK88	XP_003521000.1;	GLYMA.03G009700	I1JK88_SOYBN	Uncharacterized protein
I1M7T7		GLYMA.14G059200	I1M7T7_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
I1L0D2	XP_003535059.1;	GLYMA.09G022000	I1L0D2_SOYBN	Patatin (EC 3.1.1.-)
I1LE57	XP_006589595.1;	GLYMA.10G249100	I1LE57_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7K4M1	XP_003517306.1;	GLYMA.01G187200	K7K4M1_SOYBN	Uncharacterized protein
A0A0R0I3M0		GLYMA.10G210000	A0A0R0I3M0_SOYBN	Uncharacterized protein
I1KC09	XP_003526946.1;	GLYMA.06G168100	I1KC09_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
I1JFA4	XP_003518923.1;	GLYMA.02G147100	I1JFA4_SOYBN	Patatin (EC 3.1.1.-)
I1LX18	XP_003541281.1;	GLYMA.13G046500	I1LX18_SOYBN	Alpha-1,3-glucosyltransferase (EC 2.4.1.-)
A0A0R0HUZ8	XP_014618730.1;	GLYMA.10G174700	A0A0R0HUZ8_SOYBN	SMP-LTD domain-containing protein
A0A0R0LJE6	XP_014630785.1;	GLYMA.01G147800	A0A0R0LJE6_SOYBN	Uncharacterized protein
I1MV59	XP_003549939.1;	GLYMA.17G145900	I1MV59_SOYBN	Lipase_3 domain-containing protein
I1JF45	XP_003518893.1;	GLYMA.02G142100	I1JF45_SOYBN	Lipase_3 domain-containing protein
A0A0R0IYY6		GLYMA.07G040500	A0A0R0IYY6_SOYBN	Lipase_3 domain-containing protein
I1LUG5	XP_003539533.2;	GLYMA.12G204200	I1LUG5_SOYBN	Uncharacterized protein
K7MVK3	XP_003551855.1;	GLYMA.18G299300	K7MVK3_SOYBN	Lipase_3 domain-containing protein
I1MHN2	XP_003546541.1;XP_006597903.1;XP_006597904.1;	GLYMA.15G186400	I1MHN2_SOYBN	Uncharacterized protein
C6TN49	NP_001240142.1;	GLYMA.08G028800	C6TN49_SOYBN	Uncharacterized protein
I1L969	XP_003535279.1;	GLYMA.10G065300	I1L969_SOYBN	Glycos_transf_N domain-containing protein
I1MJ87	XP_003545917.1;XP_014623324.1;	GLYMA.15G257200	I1MJ87_SOYBN	Post-GPI attachment to proteins factor 3
I1N0I9	XP_003553049.1;	GLYMA.18G089700	I1N0I9_SOYBN	Uncharacterized protein
A0A0R0KK64		GLYMA.03G009100	A0A0R0KK64_SOYBN	Post-GPI attachment to proteins factor 3
C6TI07	NP_001241379.1;	GLYMA.12G230400	C6TI07_SOYBN	Uncharacterized protein
I1LD03	XP_003536348.1;	GLYMA.10G210300	I1LD03_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
A0A0R0FWZ1		GLYMA.16G108900	A0A0R0FWZ1_SOYBN	Long-chain-alcohol oxidase (EC 1.1.3.20)
I1N411	XP_003552461.1;	GLYMA.18G244500	I1N411_SOYBN	Uncharacterized protein
I1KJK3	XP_003530144.1;	GLYMA.07G114200	I1KJK3_SOYBN	Uncharacterized protein
I1JJE8	XP_014626162.1;	GLYMA.02G295500	I1JJE8_SOYBN	Uncharacterized protein
K7LBR5	XP_006586913.1;	GLYMA.09G041400	K7LBR5_SOYBN	Phospholipase (EC 3.1.4.4)
I1KR76	XP_003532627.1;	GLYMA.08G077100	I1KR76_SOYBN	DUF676 domain-containing protein
A0A0R0LER5	XP_006573811.1;	GLYMA.01G226000	A0A0R0LER5_SOYBN	Lipase_3 domain-containing protein
I1LGN8		GLYMA.11G031800	I1LGN8_SOYBN	Autophagy-related protein
C6SY43	NP_001238084.1;	GLYMA.13G155200	C6SY43_SOYBN	Lipocln_cytosolic_FA-bd_dom domain-containing protein
K7N0A9	XP_014627548.1;	GLYMA.19G255100	K7N0A9_SOYBN	Lipase_3 domain-containing protein
A0A0R0G4K9		GLYMA.15G025800	A0A0R0G4K9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0ET85	XP_014627553.1;	GLYMA.19G255100	A0A0R0ET85_SOYBN	Lipase_3 domain-containing protein
I1K8V3	XP_006581358.1;	GLYMA.06G068700	I1K8V3_SOYBN	Phospholipase D (EC 3.1.4.4)
I1NBY7	XP_006604817.1;	GLYMA.19G234400	I1NBY7_SOYBN	ACB domain-containing protein
I1LD04		GLYMA.10G210300	I1LD04_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
K7LST9	XP_003540872.1;	GLYMA.12G032400	K7LST9_SOYBN	Uncharacterized protein
K7L5U6	XP_003532708.1;	GLYMA.08G100400	K7L5U6_SOYBN	Lipase_3 domain-containing protein
I1JJN8	XP_003519651.1;XP_014626363.1;	GLYMA.02G304100	I1JJN8_SOYBN	Neutral ceramidase (EC 3.5.1.23)
A0A0R0ES89		GLYMA.20G248000	A0A0R0ES89_SOYBN	Lipase_3 domain-containing protein
A0A0R0EHI7	XP_003554923.1;	GLYMA.19G032800	A0A0R0EHI7_SOYBN	Uncharacterized protein
A0A0R4J2H1	XP_003516849.1;	GLYMA.01G001300	A0A0R4J2H1_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
K7MCW0	XP_006598003.1;	GLYMA.15G215400	K7MCW0_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0KLA1		GLYMA.03G016600	A0A0R0KLA1_SOYBN	Uncharacterized protein
K7KBR6	XP_003518576.2;	GLYMA.02G308600	K7KBR6_SOYBN	ABC1 domain-containing protein
I1MNQ4	XP_003548041.1;	GLYMA.16G148900	I1MNQ4_SOYBN	AAI domain-containing protein
K7MFY3	XP_006599145.1;XP_006599146.1;	GLYMA.16G084200	K7MFY3_SOYBN	Lipase_3 domain-containing protein
I1JS32	XP_003521822.1;	GLYMA.03G260300	I1JS32_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0E9H9	XP_006606858.1;	GLYMA.20G090900	A0A0R0E9H9_SOYBN	Saposin B-type domain-containing protein
Q43443	NP_001235310.1;	GLYMA.14G059200	Q43443_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
I1KR47	XP_003531043.1;	GLYMA.08G074100	I1KR47_SOYBN	AAI domain-containing protein
I1M8K4	XP_003544452.1;	GLYMA.14G081300	I1M8K4_SOYBN	Patatin (EC 3.1.1.-)
I1M1C9	XP_003542920.1;	GLYMA.13G215800	I1M1C9_SOYBN	Lipase_3 domain-containing protein
A0A0R0EKL9	XP_006605974.1;	GLYMA.20G129500	A0A0R0EKL9_SOYBN	Uncharacterized protein
I1LPT7		GLYMA.12G033500	I1LPT7_SOYBN	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)
I1KRB8	XP_003531074.1;	GLYMA.08G081000	I1KRB8_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0FHA7		GLYMA.17G029400	A0A0R0FHA7_SOYBN	Lipase_3 domain-containing protein
I1LHD7		GLYMA.11G054900	I1LHD7_SOYBN	Uncharacterized protein
K7KJV4		GLYMA.04G129200	K7KJV4_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LJS6	XP_003537948.1;	GLYMA.11G130200	I1LJS6_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1K1G8	XP_003525666.1;	GLYMA.05G006800	I1K1G8_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0ENJ8		GLYMA.20G167900	A0A0R0ENJ8_SOYBN	Glyco_transf_28 domain-containing protein
I1JKI9		GLYMA.03G020800	I1JKI9_SOYBN	Uncharacterized protein
I1NGD1		GLYMA.20G144600	I1NGD1_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1MC21	XP_006596537.1;	GLYMA.14G220700	I1MC21_SOYBN	Lipase_GDSL domain-containing protein
A0A0R0K0E0		GLYMA.05G232700	A0A0R0K0E0_SOYBN	Abhydro_lipase domain-containing protein
K7KE61		GLYMA.03G101800	K7KE61_SOYBN	Uncharacterized protein
A0A0R0L513	XP_014621345.1;	GLYMA.01G012100	A0A0R0L513_SOYBN	Lipase_3 domain-containing protein
I1MQU7		GLYMA.17G003000	I1MQU7_SOYBN	START domain-containing protein
K7LVP6	XP_003540237.2;	GLYMA.12G183300	K7LVP6_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
I1KGD7	XP_006583019.1;	GLYMA.07G010900	I1KGD7_SOYBN	Phospholipase D (EC 3.1.4.4)
A0A0R0GUJ0		GLYMA.13G269200	A0A0R0GUJ0_SOYBN	Uncharacterized protein
K7MK54	XP_003549313.1;	GLYMA.17G059900	K7MK54_SOYBN	Uncharacterized protein
A0A0R0F6W3	XP_006600120.1;	GLYMA.17G013000	A0A0R0F6W3_SOYBN	Autophagy-related protein
I1MD14	XP_003546722.1;XP_014623447.1;	GLYMA.15G025800	I1MD14_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0G187	XP_006597736.1;	GLYMA.15G152100	A0A0R0G187_SOYBN	Phospholipase (EC 3.1.4.4)
K7KC20	XP_006576320.1;	GLYMA.03G009100	K7KC20_SOYBN	Post-GPI attachment to proteins factor 3
I1MDK4	XP_003547033.2;	GLYMA.15G042500	I1MDK4_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0KDA1		GLYMA.03G009100	A0A0R0KDA1_SOYBN	Post-GPI attachment to proteins factor 3
I1JZR0	XP_003525471.1;	GLYMA.05G028500	I1JZR0_SOYBN	ABC transporter domain-containing protein
K7L889	XP_003530374.1;	GLYMA.08G228800	K7L889_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1JMI0		GLYMA.03G101700	I1JMI0_SOYBN	Uncharacterized protein
C6SZ13	NP_001237482.1;	GLYMA.10G193900	C6SZ13_SOYBN	Uncharacterized protein
I1M6K6	XP_003544723.1;	GLYMA.14G017100	I1M6K6_SOYBN	Uncharacterized protein
I1K2X8	XP_003524783.1;	GLYMA.05G126000	I1K2X8_SOYBN	Fatty acid hydroxylase domain-containing protein
I1JFT4	XP_003519005.1;	GLYMA.13G030300	I1JFT4_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0JEP5	XP_006584127.1;	GLYMA.07G270900	A0A0R0JEP5_SOYBN	START domain-containing protein
K7KDS5	XP_003522209.1;	GLYMA.03G083100	K7KDS5_SOYBN	Glyco_transf_28 domain-containing protein
I1KV33	XP_003531653.1;	GLYMA.08G202000	I1KV33_SOYBN	Uncharacterized protein
I1KH70	XP_003528382.1;	GLYMA.07G034900	I1KH70_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0KIG1		GLYMA.03G121300	A0A0R0KIG1_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
A0A0R0IXU0		GLYMA.07G007000	A0A0R0IXU0_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1MRL7	XP_003550544.2;	GLYMA.17G029400	I1MRL7_SOYBN	Uncharacterized protein
K7LF52	XP_006587614.1;	GLYMA.09G209400	K7LF52_SOYBN	Lipase_3 domain-containing protein
I1N3W6	XP_003552428.2;	GLYMA.18G239800	I1N3W6_SOYBN	Glyco_transf_28 domain-containing protein
I1J5Q1	XP_003517969.1;	GLYMA.01G046500	I1J5Q1_SOYBN	Fatty acid hydroxylase domain-containing protein
K7LVW6	XP_006592818.1;	GLYMA.12G194400	K7LVW6_SOYBN	Uncharacterized protein
I1K198	XP_003524510.1;	GLYMA.05G013800	I1K198_SOYBN	Uncharacterized protein
I1K5D4	XP_006579398.1;	GLYMA.05G245000	I1K5D4_SOYBN	S5A_REDUCTASE domain-containing protein
I1MEW8	XP_003547186.1;	GLYMA.15G087400	I1MEW8_SOYBN	Uncharacterized protein
I1N3Z2	XP_003552445.1;	GLYMA.18G242100	I1N3Z2_SOYBN	Uncharacterized protein
A0A0R0K221	XP_014631182.1;	GLYMA.05G158000	A0A0R0K221_SOYBN	DUF676 domain-containing protein
I1KIL7	XP_003528900.1;	GLYMA.07G082700	I1KIL7_SOYBN	Uncharacterized protein
K7MAW6	XP_006596990.1;XP_006596991.1;	GLYMA.15G118700	K7MAW6_SOYBN	Acyl carrier protein
K7MIK7	XP_006599621.1;	GLYMA.16G196700	K7MIK7_SOYBN	Uncharacterized protein
C6TMC6	NP_001240276.1;	GLYMA.08G232500	C6TMC6_SOYBN	AAI domain-containing protein
I1MER2	XP_003547164.2;	GLYMA.15G081400	I1MER2_SOYBN	Lipase_3 domain-containing protein
K7KH90	XP_003521841.1;	GLYMA.03G264300	K7KH90_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1LJ17	XP_003537808.1;	GLYMA.11G107300	I1LJ17_SOYBN	Uncharacterized protein
I1MUH0	XP_003549810.1;	GLYMA.17G122000	I1MUH0_SOYBN	Uncharacterized protein
A0A0R0KJR5	XP_014630340.1;	GLYMA.04G206000	A0A0R0KJR5_SOYBN	PH domain-containing protein
K7MTS3	XP_006602699.1;	GLYMA.18G211900	K7MTS3_SOYBN	Uncharacterized protein
C6TAU9	NP_001241180.1;	GLYMA.07G127900	C6TAU9_SOYBN	Uncharacterized protein
I1KCL7	XP_003527042.1;	GLYMA.06G187300	I1KCL7_SOYBN	Uncharacterized protein
I1JA27		GLYMA.01G215500	I1JA27_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
I1L6Z6	XP_003533656.1;	GLYMA.09G273900	I1L6Z6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7K7I4		GLYMA.02G102700	K7K7I4_SOYBN	Uncharacterized protein
I1JA23	XP_003517450.1;	GLYMA.01G215100	I1JA23_SOYBN	Phospholipase D (EC 3.1.4.4)
K7M5W7		GLYMA.14G095400	K7M5W7_SOYBN	Cytochrome b5 heme-binding domain-containing protein
K7LLC2	XP_006589608.1;	GLYMA.10G251300	K7LLC2_SOYBN	Uncharacterized protein
I1LZ20	XP_003542504.1;XP_014620994.1;	GLYMA.13G137800	I1LZ20_SOYBN	acidPPc domain-containing protein
I1MDE5	XP_003547306.1;	GLYMA.15G037400	I1MDE5_SOYBN	Uncharacterized protein
I1LD00	XP_003536345.1;	GLYMA.10G210000	I1LD00_SOYBN	Uncharacterized protein
I1K6S4		GLYMA.05G201300	I1K6S4_SOYBN	Acyl carrier protein
G4Y9K0	NP_001241433.1;	GLYMA.20G162600	G4Y9K0_SOYBN	Beta-carotene hydroxylase 4
I1KD81	XP_003527137.1;	GLYMA.06G211300	I1KD81_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
